nohup: ignoring input
 * Serving Flask app "backendServer" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.122.8:8800/ (Press CTRL+C to quit)
127.0.0.1 - - [11/Aug/2025 07:58:49] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:58:52] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:58:55] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:58:58] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:01] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:04] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:07] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:11] "GET /upload_status/image HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:11] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /list_output_datasets HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /list_input_datasets HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /get_random_dataset_images/Robot?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /get_random_output_images/Robot?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /get_random_output_images/Spaceship?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /get_random_dataset_images/Spaceship?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /input/datasets/Robot/rgb/2_133_0133.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /output/Robot_output_2025-08-11-06-16-03/results/135.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /input/datasets/Robot/rgb/1_305_0005.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /output/Robot_output_2025-08-11-06-16-03/results/140.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /output/Robot_output_2025-08-11-06-16-03/results/135_d.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /input/datasets/Robot/rgb/1_383_0083.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /output/Robot_output_2025-08-11-06-16-03/results/140_d.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /input/datasets/Robot/rgb/2_062_0062.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /output/Robot_output_2025-08-11-06-16-03/results/053.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /output/Robot_output_2025-08-11-06-16-03/results/053_d.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:44] "GET /input/datasets/Robot/rgb/2_004_0004.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:45] "GET /output/Spaceship_output_2025-08-11-06-16-03/results/058.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:45] "GET /input/datasets/Spaceship/rgb/1_val_0080.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:45] "GET /output/Spaceship_output_2025-08-11-06-16-03/results/058_d.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:45] "GET /input/datasets/Spaceship/rgb/0_train_0054.png HTTP/1.1" 200 -
127.0.0.1 - - [11/Aug/2025 07:59:45] "GET /output/Spaceship_output_2025-08-11-06-16-03/results/073.png HTTP/1.1" 200 -
