nohup: ignoring input
 * Serving Flask app "backendServer" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.122.5:8800/ (Press CTRL+C to quit)
127.0.0.1 - - [12/Aug/2025 01:05:34] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [12/Aug/2025 01:05:37] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:05:37] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:05:45] "GET /upload_status/video HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:05:50] "GET /upload_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:30] "GET /upload_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:42] "GET /upload_status/image HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /list_input_datasets HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /list_output_datasets HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /get_random_dataset_images/Lifestyle?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /get_random_output_images/Lifestyle?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /get_random_output_images/Spaceship?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /get_random_dataset_images/Spaceship?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /input/datasets/Lifestyle/rgb/2_test_0091.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/051.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/171.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/051_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /input/datasets/Lifestyle/rgb/2_test_0088.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/171_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:58] "GET /input/datasets/Lifestyle/rgb/2_test_0134.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/045.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/045_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /input/datasets/Lifestyle/rgb/0_train_0046.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/038.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/038_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /input/datasets/Lifestyle/rgb/2_test_0030.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/067.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/067_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /input/datasets/Spaceship/rgb/2_test_0088.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/172.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /input/datasets/Spaceship/rgb/2_test_0100.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/172_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/058.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/058_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /input/datasets/Spaceship/rgb/2_test_0098.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/192.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/192_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/083.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /input/datasets/Spaceship/rgb/0_train_0015.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/083_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /input/datasets/Spaceship/rgb/0_train_0018.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/101.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:07:59] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/101_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /get_random_output_images/Lifestyle?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /get_random_output_images/Spaceship?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /get_random_dataset_images/Lifestyle?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /get_random_dataset_images/Spaceship?count=5 HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/150.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/150_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /input/datasets/Spaceship/rgb/2_test_0009.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/055.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /input/datasets/Spaceship/rgb/2_test_0010.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/055_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/127_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/127.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /input/datasets/Lifestyle/rgb/1_val_0082.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /input/datasets/Spaceship/rgb/0_train_0036.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/003_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/003.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /input/datasets/Spaceship/rgb/1_val_0067.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/106.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/106_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /input/datasets/Spaceship/rgb/2_test_0081.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/052.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Spaceship_output_2025-08-11-08-01-29/results/052_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /input/datasets/Lifestyle/rgb/0_train_0092.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/194.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/194_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /input/datasets/Lifestyle/rgb/1_val_0000.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/146.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/146_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /input/datasets/Lifestyle/rgb/1_val_0005.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/039.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/039_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /input/datasets/Lifestyle/rgb/1_val_0060.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/094.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:02] "GET /output/Lifestyle_output_2025-08-11-08-01-29/results/094_d.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:19] "GET /upload_status/video HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /get_lidar_visualization_results HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/ply_img/0.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/range_img/0.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/range_img/2.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/ply_img/2.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/ply_img/1.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/range_img/1.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/ply_img/3.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/range_img/3.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/ply_img/4.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/range_img/4.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:36] "GET /lidar_visualization/ply_img/5.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:37] "GET /lidar_visualization/range_img/5.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:37] "GET /lidar_visualization/ply_img/6.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:08:37] "GET /lidar_visualization/range_img/6.png HTTP/1.1" 200 -
